,Mean Reliability,Median Reliability,Volatility,Sharpe Ratio,Mean Num Communities,Median Num Communities
Louvain,0.4543090775299637,0.3247121372354663,0.21015214917862612,0.8178079972217549,4.333333333333333,4.0
Label Propagation,0.4303782666743953,0.30739658289613525,0.21068274735685763,0.7782128120184956,6.0476190476190474,6.0
Agglomerative,0.3105500350271239,0.26278705831793026,0.23301528721911038,0.7285653043532262,5.0,5.0
DBSCAN,0.3792615817163931,0.28996160081379196,0.39808007979440696,0.9951068677124243,5.571428571428571,6.0
Sector,0.41429117179606445,0.3354094494784374,0.19190012165060444,0.8339473559961467,11.0,11.0
Equal-Weight,0.41094409004220434,0.356950736606351,0.19780960613298781,0.8527362402489824,1.0,1.0
None,0.42261119646600215,0.34719007849035155,0.19606539543048487,0.8144709140456887,349.0,349.0
