,Mean Reliability,Median Reliability,Volatility,Sharpe Ratio,Mean Num Communities,Median Num Communities
Louvain,0.518602190483253,0.518602190483253,0.2290299814825601,0.757571461232792,4.0,4.0
Label Propagation,0.3267859211002939,0.3267859211002939,0.22485894706564363,0.7413996501581654,6.5,6.5
Agglomerative,0.08239764084909024,0.08239764084909024,0.25051159760447045,0.7148340329469673,5.0,5.0
DBSCAN,0.25716003715297625,0.25716003715297625,0.7820296056769555,0.7305393589166608,4.5,4.5
Sector,0.16848819469975634,0.16848819469975634,0.19818626734379668,0.818544279762686,11.0,11.0
Equal-Weight,0.12366353266979391,0.12366353266979391,0.20052355384040385,0.8465014352645845,1.0,1.0
None,0.17439947816590995,0.17439947816590995,0.20291480254677016,0.8039332880671692,349.0,349.0
